2400604;"ALMINO AFONSO";"RN";"Nordeste";" ";-6,15742;-37,76313
4100400;"ALMIRANTE TAMANDARÉ";"PR";"Sul";" ";-25,31338;-49,30032
4300471;"ALMIRANTE TAMANDARÉ DO SUL";"RS";"Sul";" ";-28,11373;-52,91372
5200506;"ALOÂNDIA";"GO";"Centro-Oeste";" ";-17,72491;-49,48232
3101805;"ALPERCATA";"MG";"Sudeste";" ";-18,98683;-41,98913
4300505;"ALPESTRE";"RS";"Sul";" ";-27,24877;-53,03737
3101904;"ALPINÓPOLIS";"MG";"Sudeste";" ";-20,86186;-46,38948
5100250;"ALTA FLORESTA";"MT";"Centro-Oeste";" ";-9,87172;-56,09161
1100015;"ALTA FLORESTA D'OESTE";"RO";"Norte";" ";-11,93554;-61,99982
3500907;"ALTAIR";"SP";"Sudeste";" ";-20,52331;-49,06011
1500602;"ALTAMIRA";"PA";"Norte";" ";-3,20566;-52,21438
2100402;"ALTAMIRA DO MARANHÃO";"MA";"Nordeste";" ";-4,16227;-45,46468
4100459;"ALTAMIRA DO PARANÁ";"PR";"Sul";" ";-24,80100;-52,70981
2300606;"ALTANEIRA";"CE";"Nordeste";" ";-6,99750;-39,74582
3102001;"ALTEROSA";"MG";"Sudeste";" ";-21,25587;-46,14532
2600807;"ALTINHO";"PE";"Nordeste";" ";-8,48959;-36,05970
3501004;"ALTINÓPOLIS";"SP";"Sudeste";" ";-21,02458;-47,37328
1400050;"ALTO ALEGRE";"RR";"Norte";" ";2,99382;-61,31402
3501103;"ALTO ALEGRE";"SP";"Sudeste";" ";-21,58169;-50,16360
4300554;"ALTO ALEGRE";"RS";"Sul";" ";-28,77475;-52,99076
2100436;"ALTO ALEGRE DO MARANHÃO";"MA";"Nordeste";" ";-4,20723;-44,44825
2100477;"ALTO ALEGRE DO PINDARÉ";"MA";"Nordeste";" ";-3,66517;-45,84208
1100379;"ALTO ALEGRE DOS PARECIS";"RO";"Norte";" ";-12,13178;-61,85308
5100300;"ALTO ARAGUAIA";"MT";"Centro-Oeste";" ";-17,31559;-53,22026
4200754;"ALTO BELA VISTA";"SC";"Sul";" ";-27,43114;-51,91104
5100359;"ALTO BOA VISTA";"MT";"Centro-Oeste";" ";-11,67675;-51,37932
3102050;"ALTO CAPARAÓ";"MG";"Sudeste";" ";-20,44436;-41,87308
2400703;"ALTO DO RODRIGUES";"RN";"Nordeste";" ";-5,29381;-36,75949
4300570;"ALTO FELIZ";"RS";"Sul";" ";-29,39014;-51,31582
5100409;"ALTO GARÇAS";"MT";"Centro-Oeste";" ";-16,94672;-53,52845
5200555;"ALTO HORIZONTE";"GO";"Centro-Oeste";" ";-14,19923;-49,33275
3153509;"ALTO JEQUITIBÁ";"MG";"Sudeste";" ";-20,42293;-41,96718
2200301;"ALTO LONGÁ";"PI";"Nordeste";" ";-5,25099;-42,21032
5100508;"ALTO PARAGUAI";"MT";"Centro-Oeste";" ";-14,51471;-56,49444
1100403;"ALTO PARAÍSO";"RO";"Norte";" ";-9,71667;-63,31763
4128625;"ALTO PARAÍSO";"PR";"Sul";" ";-23,50813;-53,73289
5200605;"ALTO PARAÍSO DE GOIÁS";"GO";"Centro-Oeste";" ";-14,13625;-47,51909
4100608;"ALTO PARANÁ";"PR";"Sul";" ";-23,12712;-52,32168
